國民中學校別資料																							
103 學年度 SY2014-2015																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
03	桃園縣	034506	縣立南崁國中	73	22	26	25	"2,118"	"1,082"	"1,036"	338	315	388	344	356	377	645	352	293	52	110	2	12
03	桃園縣	034507	縣立山腳國中	25	8	8	9	699	370	329	114	98	125	100	131	131	222	96	126	25	32	2	7
03	桃園縣	034508	縣立大竹國中	43	13	15	15	"1,282"	673	609	205	169	218	228	250	212	411	204	207	24	71	2	11
03	桃園縣	034509	縣立大園國中	64	17	23	24	"1,903"	"1,001"	902	264	230	365	322	372	350	651	344	307	49	93	3	10
03	桃園縣	034510	縣立竹圍國中	21	7	7	7	687	362	325	121	110	119	105	122	110	213	117	96	23	26	3	6
03	桃園縣	034511	縣立大溪國中	45	14	15	16	"1,278"	633	645	203	190	207	213	223	242	503	257	246	35	65	1	9
03	桃園縣	034513	縣立仁和國中	72	23	25	24	"2,162"	"1,166"	996	373	286	391	369	402	341	734	383	351	54	105	5	8
03	桃園縣	034515	縣立大崗國中	38	12	13	13	"1,048"	565	483	181	136	188	170	196	177	336	152	184	30	58	1	11
03	桃園縣	034516	縣立八德國中	46	16	15	15	"1,269"	668	601	217	202	223	193	228	206	413	220	193	36	73	2	9
03	桃園縣	034517	縣立大成國中	72	25	23	24	"2,348"	"1,188"	"1,160"	438	369	369	398	381	393	753	410	343	47	116	3	10
03	桃園縣	034518	縣立中壢國中	49	15	18	16	"1,418"	792	626	224	171	293	238	275	217	452	216	236	27	92	-	12
03	桃園縣	034520	縣立平南國中	54	17	19	18	"1,586"	844	742	251	232	301	240	292	270	534	295	239	22	101	2	11
03	桃園縣	034521	縣立新明國中	30	9	10	11	910	476	434	150	128	161	149	165	157	279	149	130	22	51	1	9
03	桃園縣	034522	縣立內壢國中	82	27	28	27	"2,666"	"1,400"	"1,266"	393	387	511	429	496	450	939	513	426	47	133	4	10
03	桃園縣	034523	縣立大崙國中	30	10	10	10	850	445	405	152	122	147	144	146	139	301	156	145	19	50	2	8
03	桃園縣	034524	縣立龍岡國中	54	18	18	18	"1,689"	860	829	280	270	281	286	299	273	528	263	265	39	87	3	9
03	桃園縣	034525	縣立興南國中	24	8	8	8	604	315	289	81	74	114	102	120	113	213	119	94	17	52	4	5
03	桃園縣	034526	縣立自強國中	68	20	24	24	"1,993"	"1,059"	934	313	260	371	349	375	325	601	301	300	43	115	2	11
03	桃園縣	034527	縣立東興國中	84	28	28	28	"2,657"	"1,341"	"1,316"	422	398	438	484	481	434	888	471	417	46	138	1	14
03	桃園縣	034528	縣立楊梅國中	62	18	22	22	"1,601"	832	769	223	227	283	289	326	253	569	250	319	38	115	2	13
03	桃園縣	034529	縣立仁美國中	17	4	7	6	353	199	154	58	42	76	56	65	56	124	69	55	13	27	5	4
03	桃園縣	034530	縣立富岡國中	11	3	4	4	271	161	110	42	20	67	45	52	45	101	49	52	9	21	-	5
03	桃園縣	034531	縣立瑞原國中	17	6	5	6	374	200	174	76	60	55	48	69	66	104	62	42	15	25	-	7
03	桃園縣	034533	縣立觀音國中	15	5	5	5	353	189	164	60	56	69	55	60	53	127	76	51	15	23	3	2
03	桃園縣	034534	縣立草漯國中	25	9	8	8	712	363	349	133	117	112	113	118	119	210	105	105	18	39	4	4
03	桃園縣	034535	縣立新屋國中	40	13	14	13	"1,140"	584	556	180	153	217	191	187	212	394	193	201	29	62	2	10
03	桃園縣	034536	縣立大坡國中	9	3	3	3	212	119	93	36	32	40	29	43	32	62	29	33	9	15	1	3
03	桃園縣	034537	縣立永安國中	9	3	3	3	228	104	124	29	35	40	41	35	48	83	41	42	10	14	2	3
03	桃園縣	034538	縣立龍潭國中	44	14	15	15	"1,280"	669	611	223	180	239	202	207	229	422	209	213	26	71	2	10
03	桃園縣	034539	縣立凌雲國中	37	11	13	13	988	511	477	152	133	173	166	186	178	374	202	172	22	66	2	9
03	桃園縣	034540	縣立石門國中	32	10	10	12	930	487	443	151	129	161	130	175	184	305	150	155	18	55	1	8
03	桃園縣	034541	縣立介壽國中	10	3	4	3	203	116	87	36	30	41	35	39	22	80	36	44	13	12	1	4
03	桃園縣	034542	縣立慈文國中	71	20	25	26	"2,078"	"1,097"	981	302	253	387	354	408	374	621	319	302	56	97	4	9
03	桃園縣	034543	縣立平興國中	69	20	24	25	"2,053"	"1,053"	"1,000"	282	288	368	345	403	367	736	381	355	43	108	7	7
03	桃園縣	034544	縣立楊明國中	31	10	10	11	921	476	445	143	139	154	138	179	168	271	127	144	25	46	1	9
03	桃園縣	034545	縣立龍興國中	35	11	12	12	"1,005"	510	495	155	142	187	161	168	192	316	172	144	25	55	4	7
03	桃園縣	034546	縣立福豐國中	54	17	18	19	"1,562"	825	737	241	229	272	237	312	271	512	252	260	38	92	2	10
03	桃園縣	034549	縣立東安國中	25	7	10	8	682	342	340	86	100	118	129	138	111	212	125	87	19	39	1	8
03	桃園縣	034550	縣立光明國中	67	21	23	23	"2,052"	"1,024"	"1,028"	305	310	355	372	364	346	666	331	335	40	107	2	11
03	桃園縣	034551	縣立同德國中	57	19	19	19	"1,996"	"1,037"	959	316	313	364	308	357	338	644	313	331	30	102	3	9
03	桃園縣	034552	縣立幸福國中	23	8	8	7	620	331	289	106	86	119	95	106	108	176	89	87	12	42	1	7
03	桃園縣	034554	縣立大有國中	50	15	17	18	"1,499"	774	725	202	215	273	244	299	266	511	264	247	33	78	3	10
03	桃園縣	034555	縣立龜山國中	53	18	17	18	"1,640"	858	782	280	227	298	266	280	289	537	298	239	33	91	4	8
03	桃園縣	034556	縣立會稽國中	29	9	10	10	805	418	387	134	125	135	126	149	136	237	129	108	18	48	1	8
03	桃園縣	034557	縣立楊光國中(小)	21	7	7	7	634	322	312	108	93	100	115	114	104	226	130	96	14	36	3	6
03	桃園縣	034559	縣立迴龍國中(小)	11	4	3	4	227	133	94	42	32	39	24	52	38	99	59	40	9	19	4	3
03	桃園縣	034560	縣立平鎮國中	70	21	24	25	"2,060"	"1,072"	988	313	285	357	320	402	383	711	345	366	40	123	1	13
03	桃園縣	034561	縣立武漢國中	28	8	10	10	810	444	366	112	116	164	120	168	130	274	149	125	15	49	2	7
03	桃園縣	034562	縣立經國國中	21	6	7	8	604	318	286	92	82	105	104	121	100	244	133	111	17	32	1	7
03	桃園縣	034563	縣立過嶺國中	32	11	11	10	"1,023"	557	466	189	145	201	161	167	160	370	193	177	28	44	2	8
03	桃園縣	034564	縣立瑞坪國中	36	11	13	12	"1,014"	550	464	159	137	206	166	185	161	334	189	145	22	60	3	7
03	桃園縣	034565	縣立青埔國中	8	8	-	-	223	111	112	111	112	-	-	-	-	-	-	-	8	13	-	3
04	新竹縣	041501	私立康乃薾國中(小)	6	2	2	2	192	84	108	32	41	27	38	25	29	57	26	31	12	11	2	4
04	新竹縣	044501	縣立竹東國中	50	15	17	18	"1,416"	713	703	216	205	252	225	245	273	448	232	216	24	95	2	13
04	新竹縣	044502	縣立二重國中	28	10	10	8	791	422	369	147	127	151	128	124	114	240	116	124	16	51	1	7
04	新竹縣	044503	縣立員東國中	10	3	4	3	214	112	102	38	22	35	41	39	39	67	33	34	7	17	-	4
04	新竹縣	044504	縣立關西國中	22	6	8	8	552	336	216	103	52	121	77	112	87	196	104	92	19	39	2	6
04	新竹縣	044505	縣立石光國中	7	2	3	2	124	65	59	15	17	31	18	19	24	45	27	18	7	11	1	3
04	新竹縣	044506	縣立富光國中	14	6	4	4	323	178	145	82	51	59	53	37	41	76	34	42	10	26	1	5
04	新竹縣	044507	縣立新埔國中	23	8	7	8	651	321	330	98	111	106	95	117	124	221	115	106	17	39	1	8
04	新竹縣	044508	縣立照門國中	8	3	2	3	176	98	78	27	31	33	20	38	27	58	28	30	8	12	1	3
04	新竹縣	044509	縣立竹北國中	56	16	21	19	"1,515"	785	730	221	206	295	263	269	261	538	293	245	30	102	4	11
04	新竹縣	044510	縣立鳳岡國中	10	3	3	4	235	122	113	42	26	32	36	48	51	77	37	40	6	17	-	4
04	新竹縣	044511	縣立六家國中	12	4	4	4	302	146	156	54	54	52	48	40	54	76	40	36	7	20	-	4
04	新竹縣	044512	縣立芎林國中	19	6	6	7	466	232	234	66	71	76	89	90	74	154	75	79	11	37	-	8
04	新竹縣	044513	縣立新豐國中	30	9	10	11	779	409	370	109	103	138	139	162	128	258	138	120	19	54	2	8
04	新竹縣	044514	縣立精華國中	5	2	1	2	95	47	48	13	15	13	9	21	24	53	30	23	5	8	2	2
04	新竹縣	044515	縣立橫山國中	9	3	3	3	223	116	107	36	39	39	31	41	37	73	39	34	7	14	-	4
04	新竹縣	044516	縣立華山國中	6	2	2	2	112	65	47	23	12	19	19	23	16	42	23	19	7	8	1	3
04	新竹縣	044517	縣立寶山國中	15	5	5	5	330	162	168	59	41	43	57	60	70	116	59	57	7	29	-	5
04	新竹縣	044518	縣立北埔國中	11	3	4	4	276	138	138	36	36	54	47	48	55	84	42	42	7	19	-	5
04	新竹縣	044519	縣立峨眉國中	4	1	1	2	76	50	26	16	5	17	7	17	14	24	14	10	3	9	-	3
04	新竹縣	044521	縣立新湖國中	31	10	11	10	905	485	420	138	142	185	135	162	143	279	138	141	21	49	-	10
04	新竹縣	044522	縣立中正國中	12	4	4	4	352	197	155	68	51	70	49	59	55	105	56	49	4	26	2	3
04	新竹縣	044523	縣立五峰國中	4	1	2	1	86	48	38	15	8	17	19	16	11	28	19	9	4	7	3	1
04	新竹縣	044524	縣立尖石國中	10	3	4	3	231	111	120	40	31	36	48	35	41	75	45	30	14	13	2	2
04	新竹縣	044525	縣立忠孝國中	34	10	12	12	"1,033"	531	502	153	137	187	183	191	182	304	146	158	16	60	1	9
04	新竹縣	044526	縣立博愛國中	33	11	11	11	937	495	442	161	137	170	148	164	157	281	147	134	17	62	1	6
04	新竹縣	044527	縣立仁愛國中	42	15	14	13	"1,259"	657	602	237	211	211	206	209	185	433	216	217	21	78	1	9
04	新竹縣	044528	縣立自強國中	48	14	17	17	"1,412"	725	687	212	194	259	237	254	256	487	271	216	21	99	4	10
04	新竹縣	044529	縣立成功國中	50	17	17	16	"1,440"	755	685	277	215	227	256	251	214	443	250	193	23	97	-	9
05	苗栗縣	054501	縣立苗栗國中	19	6	6	7	405	227	178	77	56	70	51	80	71	137	67	70	23	35	2	5
05	苗栗縣	054502	縣立大倫國中	28	8	10	10	782	428	354	116	95	154	113	158	146	271	137	134	24	45	1	7
05	苗栗縣	054503	縣立明仁國中	51	16	18	17	"1,427"	724	703	241	201	244	258	239	244	497	254	243	44	77	2	9
05	苗栗縣	054504	縣立頭屋國中	10	3	4	3	225	110	115	37	30	35	49	38	36	64	41	23	16	12	-	3
05	苗栗縣	054505	縣立公館國中	39	12	13	14	"1,109"	541	568	158	181	177	192	206	195	370	184	186	30	63	-	10
05	苗栗縣	054506	縣立鶴岡國中	10	3	3	4	205	120	85	43	26	39	25	38	34	58	37	21	3	21	-	3
05	苗栗縣	054507	縣立文林國中	19	6	7	6	491	265	226	86	71	83	82	96	73	128	59	69	14	31	4	2
05	苗栗縣	054510	縣立致民國中	16	5	6	5	412	210	202	54	74	79	66	77	62	96	42	54	11	26	2	5
05	苗栗縣	054511	縣立通霄國中	24	8	8	8	610	304	306	108	101	97	106	99	99	209	96	113	23	36	3	5
05	苗栗縣	054512	縣立南和國中	6	2	2	2	106	53	53	14	18	19	20	20	15	51	32	19	6	9	-	3
05	苗栗縣	054513	縣立烏眉國中	10	4	3	3	237	138	99	51	30	49	32	38	37	62	33	29	5	20	-	2
05	苗栗縣	054514	縣立啟新國中	5	1	2	2	102	54	48	14	15	22	15	18	18	38	20	18	7	6	-	3
05	苗栗縣	054515	縣立西湖國中	6	2	2	2	146	82	64	29	17	28	26	25	21	48	26	22	6	9	2	1
05	苗栗縣	054516	縣立頭份國中	34	11	12	11	957	512	445	173	152	167	158	172	135	251	130	121	19	62	1	6
